timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.68634E+12,5994,HTTP Request,200,OK,BLC 1-46,text,TRUE,,177955,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,107,0,52
1.68634E+12,107,HTTP Request-0,301,Moved Permanently,BLC 1-46,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,107,0,52
1.68634E+12,5886,HTTP Request-1,200,OK,BLC 1-46,text,TRUE,,177606,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1454,0,145
1.68634E+12,7032,HTTP Request,200,OK,BLC 1-13,text,TRUE,,177947,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,100,0,50
1.68634E+12,100,HTTP Request-0,301,Moved Permanently,BLC 1-13,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,100,0,50
1.68634E+12,6931,HTTP Request-1,200,OK,BLC 1-13,text,TRUE,,177598,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1801,0,155
1.68634E+12,6713,HTTP Request,200,OK,BLC 1-48,text,TRUE,,177932,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,103,0,52
1.68634E+12,103,HTTP Request-0,301,Moved Permanently,BLC 1-48,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,103,0,52
1.68634E+12,6609,HTTP Request-1,200,OK,BLC 1-48,text,TRUE,,177583,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1445,0,161
1.68634E+12,7314,HTTP Request,200,OK,BLC 1-27,text,TRUE,,177939,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,101,0,50
1.68634E+12,101,HTTP Request-0,301,Moved Permanently,BLC 1-27,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,101,0,50
1.68634E+12,7213,HTTP Request-1,200,OK,BLC 1-27,text,TRUE,,177590,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1661,0,160
1.68634E+12,7807,HTTP Request,200,OK,BLC 1-18,text,TRUE,,177940,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,94,0,47
1.68634E+12,94,HTTP Request-0,301,Moved Permanently,BLC 1-18,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,94,0,47
1.68634E+12,7713,HTTP Request-1,200,OK,BLC 1-18,text,TRUE,,177591,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1815,0,144
1.68634E+12,7736,HTTP Request,200,OK,BLC 1-37,text,TRUE,,177932,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,102,0,51
1.68634E+12,102,HTTP Request-0,301,Moved Permanently,BLC 1-37,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,102,0,51
1.68634E+12,7633,HTTP Request-1,200,OK,BLC 1-37,text,TRUE,,177583,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1549,0,158
1.68634E+12,9515,HTTP Request,200,OK,BLC 1-53,text,TRUE,,177940,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,95,0,47
1.68634E+12,95,HTTP Request-0,301,Moved Permanently,BLC 1-53,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,95,0,47
1.68634E+12,9420,HTTP Request-1,200,OK,BLC 1-53,text,TRUE,,177591,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1620,0,160
1.68634E+12,10206,HTTP Request,200,OK,BLC 1-31,text,TRUE,,177933,266,100,100,https://elearn.daffodilvarsity.edu.bd:443/,97,0,48
1.68634E+12,97,HTTP Request-0,301,Moved Permanently,BLC 1-31,text,TRUE,,349,131,100,100,http://elearn.daffodilvarsity.edu.bd/,97,0,48
1.68634E+12,10109,HTTP Request-1,200,OK,BLC 1-31,text,TRUE,,177584,135,100,100,https://elearn.daffodilvarsity.edu.bd:443/,1786,0,168
